"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
264;"Denis Zakaria";"Monaco";10;789;0;1;0.35;1.34;0.04;0.15
265;"Ignatius Ganago";"Nantes";1;20;0;0;0;0;0;0
266;"Elisha Owusu";"Auxerre";15;1106;0;0;0.06;0.67;0;0.05
267;"Romain Faivre";"Auxerre";3;91;0;0;0.06;0.03;0.06;0.03
268;"Yehvann Diouf";"Nice";16;1440;0;0;0;0;0;0
269;"Jordan Lefort";"Angers";20;1800;0;1;0.33;0.52;0.02;0.03
270;"Ibrahima Sissoko";"Nantes";3;235;0;0;0.04;0;0.01;0
271;"Jonathan Gradit";"Lens";9;810;0;0;0.11;0.09;0.01;0.01
272;"Leonardo Balerdi";"Marseille";15;1083;0;1;1.24;0.22;0.1;0.02
273;"Sebastian Szymanski";"Rennes";2;40;0;0;0.12;0;0.26;0
274;"Younes Namli";"Le Havre";12;300;0;1;0.14;0.44;0.04;0.13
275;"Haris Belkebla";"Angers";20;1763;0;0;0.12;0.41;0.01;0.02
276;"Donovan Léon";"Auxerre";18;1575;0;0;0;0.06;0;0
277;"Brendan Chardonnet";"Brest";18;1565;0;2;0.6;0.96;0.03;0.05
278;"Thomas Delaine";"Le Havre";5;200;0;0;0.08;0.23;0.04;0.11
279;"Marshall Munetsi";"Paris FC";3;44;0;0;0.45;0;0.93;0
280;"Uros Radakovic";"Nantes";4;15;0;0;0;0;0;0
281;"Mbwana Samatta";"Le Havre";13;830;0;0;3.1;0.59;0.34;0.06
282;"Lucas Gourna Douath";"Le Havre";2;180;0;0;0.04;0.02;0.02;0.01
283;"Lucas Chevalier";"Paris Saint Germain";17;1530;0;0;0;0;0;0
284;"Radoslaw Majecki";"Brest";10;868;0;0;0;0;0;0
285;"Wout Faes";"Monaco";2;118;0;0;0.03;0;0.02;0
286;"Thibault De Smet";"Paris FC";14;954;0;1;0.19;0.34;0.02;0.03
287;"Facundo Medina";"Marseille";6;477;0;0;0;0.07;0;0.01
288;"Lilian Brassier";"Rennes";15;1240;0;1;0.74;0.29;0.05;0.02
289;"Cheick Tidiane Sabaly";"Metz";14;972;0;2;1.43;1.88;0.13;0.17
290;"Timothee Pembele";"Le Havre";2;61;0;0;0;0.03;0;0.04
291;"Kevin Omoruyi";"Nice";12;597;0;0;3.01;0.09;0.45;0.01
292;"Sékou Mara";"Auxerre";16;736;0;1;1.29;0.52;0.16;0.06
293;"Marvin Senaya";"Auxerre";15;1314;0;0;0.87;0.13;0.06;0.01
294;"Reda Khadra";"Le Havre";6;192;0;0;0.26;0.16;0.12;0.07
295;"Naouirou Ahamada";"Auxerre";3;133;0;0;0.11;0;0.07;0
296;"Krépin Diatta";"Monaco";11;722;0;1;0.28;1.32;0.04;0.16
297;"Antoine Mendy";"Nice";14;1239;0;0;0.75;0.04;0.05;0
298;"Andy Diouf";"Lens";1;90;0;0;0.18;0;0.18;0
299;"Mamadou Mbow";"Paris FC";19;1710;0;1;0.44;0.52;0.02;0.03
300;"Grégoire Coudert";"Brest";11;928;0;0;0;0;0;0
301;"Christopher Wooh";"Rennes";2;64;0;0;0;0;0;0
302;"Deiver Machado";"Lens,Nantes";8;480;0;0;0.58;0;0.11;0
303;"Salis Abdul Samed";"Nice";14;684;0;0;0;0.01;0;0
304;"Alidu Seidu";"Rennes";14;742;0;1;0.06;1.1;0.01;0.13
305;"Pablo Rosario";"Nice";1;19;0;0;0.08;0.1;0.38;0.48
306;"Billal Brahimi";"Nice";1;1;0;0;0;0.1;0;8.89
307;"Bradley Locko";"Brest";15;1020;0;1;0.07;0.97;0.01;0.09
308;"Bilal Nadir";"Marseille";15;453;0;4;0.37;1.73;0.07;0.34
309;"Bamo Meïté";"Lorient";14;1206;0;2;0.69;1.19;0.05;0.09
310;"Dominik Greif";"Lyon";16;1440;0;1;0;0.07;0;0
311;"Gideon Mensah";"Auxerre";18;1335;0;0;0.01;1.04;0;0.07
312;"Axel Camblan";"Brest";1;6;0;0;0;0.03;0;0.41
313;"Andrew Omobamidele";"Strasbourg";12;417;0;0;0.37;0;0.08;0
314;"Montassar Talbi";"Lorient";19;1710;0;1;0.34;0.11;0.02;0.01
315;"Felix Lemarechal";"Strasbourg";11;556;0;2;0.91;1.24;0.15;0.2
316;"Jonathan Rowe";"Marseille";1;69;0;0;0.42;0;0.55;0
317;"CJ Egan-Riley";"Marseille";9;484;0;0;0;0.51;0;0.09
318;"Jacques Ekomie";"Angers";20;1343;0;0;0.68;1.22;0.05;0.08
319;"Vanderson";"Monaco";11;503;0;2;0.15;1.31;0.03;0.23
320;"Ismaël Doukouré";"Strasbourg";15;1293;0;1;0.49;0.68;0.03;0.05
321;"Ugo Raghouber";"Lille";1;1;0;0;0;0;0;0
322;"Soumaila Coulibaly";"Brest";12;1068;0;0;0.3;0.01;0.03;0
323;"Nicolás Tagliafico";"Lyon";14;962;0;3;1.7;1.95;0.16;0.18
