"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
486;"Roger Brugué";"Levante";15;914;0;1;2.85;0.66;0.28;0.06
487;"Paco Cortés";"Levante";3;60;0;0;0.05;0;0.07;0
488;"Manuel Fernández";"Celta Vigo";12;723;0;0;0.04;0.03;0.01;0
489;"Davinchi";"Getafe";7;416;0;0;0.17;0.03;0.04;0.01
490;"Joselu Pérez";"Getafe";2;16;0;0;0.01;0;0.08;0
491;"Urko Izeta";"Athletic Club";9;122;0;0;1.1;0.32;0.81;0.24
492;"Miguel Sierra";"Sevilla";4;50;0;0;0.2;0;0.35;0
493;"Tyrhys Dolan";"Espanyol";21;1452;0;3;1.51;2.77;0.09;0.17
494;"Álvaro Núñez";"Elche";19;1668;0;2;0.17;2.52;0.01;0.14
495;"David Affengruber";"Elche";21;1727;0;0;0.67;0.3;0.04;0.02
496;"Ali Houary";"Elche";2;133;0;0;0.06;0;0.04;0
497;"Marc Aguado";"Elche";21;1499;0;1;0.06;0.07;0;0
498;"Federico Redondo";"Elche";7;46;0;0;0;0;0;0
499;"Bambo Diaby";"Elche";4;98;0;0;0;0;0;0
500;"Iván Corralejo";"Real Betis";1;11;0;0;0;0;0;0
501;"Jano Monserrate";"Atletico Madrid";1;13;0;0;0;0;0;0
502;"Santiago Colombatto";"Real Oviedo";18;1401;0;1;0.59;1.9;0.04;0.12
503;"Álex Forés";"Real Oviedo";12;256;0;1;0.72;0.02;0.25;0.01
504;"Jan Virgili";"Mallorca";17;1148;0;4;1.34;2.91;0.1;0.23
505;"Nelson Deossa";"Real Betis";12;505;0;0;0.38;0.25;0.07;0.04
506;"Fábio Cardoso";"Sevilla";4;309;0;0;0;0;0;0
507;"Lucas Ahijado";"Real Oviedo";12;866;0;1;1.08;0.88;0.11;0.09
508;"Alex Sancris";"Getafe";15;628;0;1;0.35;0.99;0.05;0.14
509;"Lancinet Kourouma";"Girona";5;23;0;0;0;0;0;0
510;"Diego Morcillo";"Alaves";1;8;0;0;0.57;0;6.38;0
511;"Selton Sánchez";"Athletic Club";4;128;0;0;0.28;0.06;0.2;0.04
512;"Pablo Agudín";"Real Oviedo";4;46;0;0;0.04;0;0.08;0
513;"Asier Hierro";"Athletic Club";1;30;0;0;0.09;0.02;0.26;0.06
514;"Jorge Montes";"Getafe";1;24;0;0;0;0;0;0
515;"Gorka Carrera";"Real Sociedad";1;8;0;0;0;0;0;0
516;"Carlos Macià";"Villarreal";4;64;0;0;0.02;0;0.03;0
517;"Aitor Mañas";"Alaves";4;30;0;0;0;0.03;0;0.09
518;"Juan Arango";"Girona";2;14;0;0;0;0;0;0
519;"Kareem Tunde";"Levante";5;335;0;0;0.25;0.48;0.07;0.13
520;"Lander Astiazarán";"Real Sociedad";1;1;0;0;0.02;0;1.9;0
521;"Alejandro Mestanza";"Getafe";3;68;0;0;0.02;0;0.02;0
522;"Nicolás Fonseca";"Real Oviedo";5;101;0;0;0.03;0.02;0.03;0.02
523;"Thiago Borbas";"Real Oviedo";3;20;0;0;0;0;0;0
524;"Hugo Burcio";"Celta Vigo";1;4;0;0;0;0;0;0
525;"Álex Sánchez";"Elche";1;5;0;1;0;0.08;0;1.44
526;"Zaid Romero";"Getafe";2;180;0;0;0.27;0;0.14;0
527;"Sebastián Boselli";"Getafe";2;5;0;0;0.28;0;5.05;0
528;"Thiago Fernández";"Real Oviedo";1;24;0;1;0.07;0.89;0.25;3.34
529;"Tai Abed";"Levante";1;1;0;0;0;0;0;0
530;"Lucas Cepeda";"Elche";1;12;0;0;0.28;0;2.11;0
531;"Wesley";"Real Sociedad";1;10;0;0;0;0;0;0
